MOFRefcodes,LCD,PLD,LFPD,Volume,ASA_m2_g,ASA_m2_cm3,NASA_m2_g,NASA_m2_cm3,AV_VF,AV_cm3_g,NAV_cm3_g, H,C,N,F,Cl,Br,V,Cu,Zn,Zr,metal type, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen ,O2uptakemolkg,N2uptakemolkg,SelfdiffusionofO2cm2s,SelfdiffusionofN2cm2s,O2N2ratio,HenrysconstantO2,HenrysconstantN2,SelfdiffusionofO2cm2sinfDilute,SelfdiffusionofN2cm2sinfDilute
APAZAU_clean,6.57194,4.51844,6.57194,0.970314,2333.14,2263.88,0,0,0.6264,0.645564,0,120,216,0,0,0,0,0,0,0,0,1,157,3.703703704,6,0.42122449,0.42122449,0,0.617187332,0.810207242,0.000390767,0.000279229,0.761764768,6.60687E-06,9.03491E-06,0.000599694,0.000369086
APAZEY_clean,6.61049,4.70522,6.61049,0.97171,2316.35,2250.82,0,0,0.6362,0.654722,0,120,216,0,0,0,0,0,0,0,0,1,157,3.703703704,6,0.42122449,0.42122449,0,0.587959118,0.804775467,0.000465589,0.000271859,0.730587775,6.32584E-06,8.62255E-06,0.000500089,0.000327402
APAZIC_clean,7.1095,4.86225,7.1095,0.893607,2443.31,2183.36,0,0,0.6554,0.733432,0,120,216,0,0,0,0,0,0,0,0,1,157,3.703703704,6,0.42122449,0.42122449,0,0.540927104,0.600153522,0.000404431,0.000448637,0.901314555,5.73544E-06,6.46933E-06,0.000481354,0.000535462
APAZOI_clean,6.38612,4.28228,6.36726,1.14648,1786.13,2047.77,0,0,0.6026,0.525607,0,56,120,0,0,0,0,0,0,0,0,1,93,6.666666667,6,0.711724138,0.711724138,0,0.53314412,0.631394817,0.000155166,0.00014555,0.84439103,5.80236E-06,7.15881E-06,0.000202106,0.000196931
APEBEE_clean,5.40727,4.06272,5.33928,1.31041,910.333,1192.91,0,0,0.513,0.391481,0,28,32,16,0,0,0,0,0,0,0,1,15,6.25,3,0.805581395,0.805581395,2.666666667,0.537162534,0.503686184,6.01727E-05,5.15662E-05,1.066462712,6.25271E-06,5.89656E-06,9.34636E-05,6.86504E-05
APEBUU_clean,4.93858,3.80274,4.91529,1.49581,619.731,927,0,0,0.4876,0.325977,0,216,264,128,0,0,0,0,0,0,0,1,125,9.090909091,2,0.796321839,0.796321839,2.666666667,0.323399775,0.282298535,3.64731E-05,3.181E-05,1.145594947,3.78467E-06,3.27788E-06,5.77465E-05,4.28234E-05
APUPEH_clean,24.7893,14.09199,24.7893,0.298214,5147.71,1535.12,0,0,0.8874,2.97572,0,48,216,0,0,0,0,0,12,0,0,4,193,5.555555556,8,0.887741935,0.887741935,0,0.31678146,0.296624383,0.000906966,0.000690871,1.06795489,3.16611E-06,2.98438E-06,0.000962345,0.001119641
AQEQES_clean,5.6853,5.37606,5.64875,1.07587,1619.58,1742.46,0,0,0.6052,0.56252,0,8,40,0,0,0,0,0,0,0,0,1,37,10,8,1.31047619,1.31047619,0,0.355621489,0.34752234,0.00022044,0.000182058,1.023305405,3.68261E-06,3.67891E-06,0.000246821,0.000268031
AQEQIW_clean,6.30636,5.13016,6.19765,1.10057,1567.33,1724.95,0,0,0.6202,0.563526,0,8,40,0,0,0,0,0,0,4,0,0,37,10,8,1.31047619,1.31047619,0,0.367693683,0.363916495,0.0001913,0.000248341,1.010379271,3.84359E-06,3.88906E-06,0.000298895,0.000256649
AQIQAU_clean,7.60741,6.30843,7.59214,0.861714,2282.5,1966.86,0,0,0.658,0.763595,0,112,192,16,0,0,0,0,0,0,0,1,133,4.166666667,4,0.440888889,0.440888889,0.5,0.383858206,0.370368723,0.000275635,0.000358825,1.036421766,3.99846E-06,3.90679E-06,0.000282147,0.000340549
AQIXUV_clean,8.64919,5.459,8.64919,0.934501,1181.86,1104.45,0,0,0.5626,0.602032,0,142,168,6,0,0,0,0,0,0,0,1,96.5,1.785714286,12,0.400225352,0.400225352,0.166666667,0.195375501,0.186857485,0.000134821,0.000128334,1.045585629,1.99995E-06,1.93082E-06,0.000115925,0.000135184
AQOLEZ_clean,15.56875,9.80847,15.56875,0.777237,1644.67,1278.3,570.991,443.796,0.7198,0.926101,0,72,88,80,0,3,0,0,0,0,0,1,31.5,13.63636364,0,0.990901961,0.990901961,0,0.459317209,0.42160965,5.14438E-05,0.000393942,1.089437134,4.84475E-06,4.44197E-06,0.000231905,0.000184411
