MOFRefcodes,LCD,PLD,LFPD,Volume,ASA_m2_g,ASA_m2_cm3,NASA_m2_g,NASA_m2_cm3,AV_VF,AV_cm3_g,NAV_cm3_g, H,C,N,F,Cl,Br,V,Cu,Zn,Zr,metal type, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen ,O2uptakemolkg,N2uptakemolkg,SelfdiffusionofO2cm2s,SelfdiffusionofN2cm2s,O2N2ratio,HenrysconstantO2,HenrysconstantN2,SelfdiffusionofO2cm2sinfDilute,SelfdiffusionofN2cm2sinfDilute
ETAYAA_clean,7.06595,5.40965,7.06097,1.09216,1808.55,1975.23,0,0,0.6406,0.586544,0,64,56,20,0,0,0,0,0,0,0,1,20,10.71428571,2,0.646075949,0.646075949,1.666666667,0.179410992,0.178890741,0.000169156,0.000219565,1.002908206,1.8113E-06,1.82599E-06,0.000214854,0.000202352
ETECOX_clean,10.32812,8.91862,10.31469,1.07802,1869.13,2014.96,0,0,0.7346,0.681437,0,0,48,0,0,0,0,0,0,0,0,1,49,33.33333333,6,2.064,2.064,0,0.143184333,0.162136715,0.000370626,0.000326546,0.883108636,1.42844E-06,1.60542E-06,0.000352727,0.000317086
ETEJIX01_clean,6.69684,4.77946,6.69684,1.08358,2292.26,2483.86,0,0,0.649,0.598939,0,4,24,0,0,0,0,0,0,0,0,1,23,8.333333333,9,1.29,1.29,0,0.290737567,0.409563108,0.000257059,0.000272414,0.709872451,2.96397E-06,4.25341E-06,0.000275269,0.000345631
ETEJIX_clean,6.81796,5.05367,6.81796,1.05868,2185.42,2313.65,0,0,0.6546,0.61832,0,10,24,0,0,0,0,0,0,0,0,1,20,8.333333333,9,1.146666667,1.146666667,0,0.312734952,0.422602613,0.000231794,0.00024773,0.740021339,3.21389E-06,4.58171E-06,0.000262117,0.000230097
ETEJUJ_clean,6.80904,5.16362,6.80904,1.11208,2029.61,2257.09,0,0,0.6478,0.582511,0,12,24,0,0,0,0,0,0,0,0,1,19,8.333333333,9,1.105714286,1.105714286,0,0.323422307,0.393491808,0.000237317,0.000261062,0.821928946,3.33823E-06,4.15257E-06,0.000208682,0.000238363
ETEKAQ01_manual,5.81491,4.70834,5.54365,1.17141,1943.78,2276.97,0,0,0.6496,0.554545,0,12,24,0,0,0,0,0,0,0,0,1,19,8.333333333,9,1.105714286,1.105714286,0,0.243876004,0.244201313,0.000123055,0.000143538,0.998667867,2.49728E-06,2.50864E-06,0.000174384,0.000165062
ETEKAQ_clean,6.79458,5.19238,6.79458,1.13284,1990.05,2254.4,0,0,0.6454,0.569721,0,12,24,0,0,0,0,0,0,0,0,1,19,8.333333333,9,1.105714286,1.105714286,0,0.316866962,0.346169757,0.000214072,0.000266172,0.915351371,3.26576E-06,3.58918E-06,0.000256595,0.000288314
ETEKEU_clean,6.74215,5.18388,6.74215,1.16256,1968.27,2288.23,0,0,0.6442,0.554124,0,12,24,0,0,0,0,0,0,0,0,1,19,8.333333333,9,1.105714286,1.105714286,0,0.31380534,0.348248172,0.000246599,0.000280705,0.901096875,3.22757E-06,3.64671E-06,0.000248615,0.000272681
ETEPID_clean,6.17672,3.95395,5.87594,1.10537,1156.47,1278.33,262.025,289.636,0.5518,0.499197,0,336,336,224,0,0,0,0,0,0,0,1,113,2.380952381,15,1.068125,1.068125,1.866666667,1.061713856,1.280134757,3.18448E-05,1.86077E-05,0.829376634,1.72786E-05,0.000131889,3.19615E-05,6.29086E-06
ETEQUQ_clean,5.92538,4.00393,5.92538,2.21544,603.256,1336.48,0,0,0.5274,0.238056,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3.333333333,2.356164384,2.356164384,0,0.055334032,0.082305377,0.000146109,0.000135436,0.672301542,5.51515E-07,8.1357E-07,0.000170703,0.000137253
ETESIG_clean,5.84738,4.10522,5.84738,1.34804,825.908,1113.36,0,0,0.511,0.379069,0,88,116,8,0,0,0,0,0,0,0,1,71,6.896551724,4,0.525,0.525,0.25,0.539157331,0.535441341,4.69166E-05,3.93993E-05,1.00694005,6.42382E-06,6.60464E-06,5.43439E-05,4.93312E-05
ETEXEI01_clean,5.81183,4.79897,5.70377,1.51395,997.869,1510.72,0,0,0.6306,0.416527,0,16,0,0,0,0,0,0,0,12,0,0,-7,0,4,1.794782609,1.794782609,0,0.167163263,0.159853072,5.58052E-05,6.90452E-05,1.045730691,1.73267E-06,1.66564E-06,5.81284E-05,5.76512E-05
ETEXEI_clean,5.78427,4.68209,5.77551,1.52654,984.721,1503.21,0,0,0.622,0.407458,0,16,0,0,0,0,0,0,0,12,0,0,-7,0,4,1.794782609,1.794782609,0,0.169647219,0.162060942,4.77128E-05,7.26744E-05,1.046811256,1.74602E-06,1.68973E-06,6.39159E-05,5.27572E-05
ETIXIQ_clean,6.68041,4.65647,6.65888,0.848377,2707.64,2297.1,0,0,0.6174,0.727742,0,176,312,8,0,0,0,0,0,8,0,0,223,2.564102564,4,0.250746269,0.250746269,0.25,0.72434496,0.586680745,4.44621E-05,4.10161E-05,1.234649281,7.91158E-06,6.30387E-06,5.43764E-05,4.36899E-05
ETUWEW_clean,4.93842,4.37104,4.93842,1.56386,1472.84,2303.31,0,0,0.6098,0.389934,0,0,16,0,0,0,0,0,0,0,0,1,17,25,8,2.116923077,2.116923077,0,0.123817045,0.150157272,0.000226815,0.000173535,0.824582408,1.24546E-06,1.51752E-06,0.000277749,0.000194212
ETUWIA_clean,4.84869,4.31374,4.84869,1.3172,1713.27,2256.73,0,0,0.6028,0.457637,0,0,16,0,0,0,0,0,0,0,0,1,17,25,8,2.116923077,2.116923077,0,0.185223082,0.203209061,0.000237126,0.00022845,0.911490271,1.87206E-06,2.0525E-06,0.000242606,0.00022531
ETUXEW_clean,4.30967,3.74181,4.30967,1.76757,625.163,1105.02,0,0,0.5662,0.320327,0,16,0,0,0,0,0,0,0,12,0,0,-7,0,4,1.794782609,1.794782609,0,0.191754584,0.142788558,7.47378E-05,0.000192758,1.342926816,2.01249E-06,1.48182E-06,7.23189E-05,6.70526E-05
EVADIQ_clean,7.6272,6.3767,7.6272,1.10873,1737.47,1926.39,0,0,0.6356,0.573266,0,36,72,12,0,0,0,0,0,0,0,1,52,5.555555556,6,0.804324324,0.804324324,0.5,0.397986337,0.350591341,0.000136903,0.000120705,1.135185872,4.19205E-06,3.64232E-06,0.000141865,0.000124666
EVAKIV_clean,13.34989,4.00312,13.34989,0.730238,2432.11,1776.02,0,0,0.6852,0.938325,0,288,288,96,0,0,0,0,12,0,0,4,121,4.166666667,0,0.426666667,0.426666667,0,0.629821199,0.519074514,5.70084E-05,5.9437E-05,1.213354117,7.05329E-06,5.74809E-06,7.20577E-05,6.56885E-05
EVAKOB_charged,13.10841,3.92348,13.10841,0.806398,2137.62,1723.78,0,0,0.6526,0.809278,0,144,144,52,0,0,0,0,6,0,0,4,60,4.166666667,2,0.556871508,0.556871508,4.333333333,0.626446038,0.503195204,6.64236E-05,5.86292E-05,1.244936425,6.88859E-06,5.35505E-06,6.21981E-05,5.64719E-05
EVEGIV_clean,6.17269,4.02251,6.17269,1.31229,651.434,854.868,32.1384,42.1748,0.5236,0.398999,0,216,288,144,0,0,0,0,36,0,0,4,145,12.5,2,0.906666667,0.906666667,2,0.296942416,0.237496506,6.95081E-05,4.0459E-05,1.25030225,3.57852E-06,2.8161E-06,7.82891E-05,5.20781E-05
EVEGOB_clean,6.69286,4.9654,6.69286,1.28252,720.888,924.55,78.477,100.648,0.5186,0.404362,0,0,96,48,0,0,0,0,12,0,0,4,85,12.5,2,1.269333333,1.269333333,2,0.226723101,0.178677506,0.000152564,0.000166045,1.268895595,2.39348E-06,1.86565E-06,0.000222154,0.000164455
EVEGUH_clean,6.67679,5.04188,6.67679,1.28811,726.551,935.874,75.84,97.6899,0.5222,0.405402,0,0,96,48,0,0,0,0,12,0,0,4,85,12.5,2,1.269333333,1.269333333,2,0.238130822,0.185946869,7.33394E-05,0.000187352,1.280639054,2.5018E-06,1.90155E-06,7.99924E-05,0.000236478
EVIMUT_clean,5.27695,4.27032,5.27695,0.98944,1559.48,1543.01,0,0,0.5212,0.526762,0,72,32,8,0,8,0,0,0,0,0,1,-9,25,0,0.344444444,0.344444444,0,0.410424959,1.433888268,0.000182187,7.06745E-05,0.286232176,4.30139E-06,1.88598E-05,0.000203503,0.000100157
EVUDAA_clean,8.8715,5.37575,8.86492,1.06655,1733.49,1848.87,0,0,0.6318,0.592375,0,64,116,0,0,0,0,0,0,0,0,1,85,6.896551724,4,0.500363636,0.500363636,0,0.554983459,0.534028184,8.8356E-05,9.35351E-05,1.039240018,6.12505E-06,5.99562E-06,7.54787E-05,9.05363E-05
EVUQOC_clean,5.3745,3.92262,5.34265,1.5074,731.093,1102.05,0,0,0.4832,0.320551,0,16,30,2,0,0,0,0,0,0,0,1,22.5,6.666666667,7,0.8475,0.8475,0.142857143,0.569834891,0.947793544,6.44737E-05,1.91257E-05,0.601222592,6.81728E-06,1.44567E-05,9.65799E-05,7.124E-05
EVURAP_clean,4.91998,4.00691,4.90722,1.50366,727.909,1094.53,0,0,0.4888,0.325073,0,16,30,2,0,0,0,0,0,0,0,1,22.5,6.666666667,7,0.8475,0.8475,0.142857143,0.52147235,1.197936161,2.84779E-05,8.29192E-06,0.435308964,6.04643E-06,2.28123E-05,6.74376E-05,4.03118E-05
EWASIG01_clean,6.54739,5.55468,6.37809,0.995743,2296.98,2287.2,0,0,0.6682,0.671057,0,12,32,0,0,0,0,0,0,0,0,1,27,6.25,8,0.887741935,0.887741935,0,0.379323875,0.812564098,0.000251499,9.37405E-05,0.466823327,3.83309E-06,8.75795E-06,0.000347955,9.49096E-05
EWASIG_clean,6.45735,5.55117,6.42218,0.997683,2283.54,2278.25,0,0,0.6672,0.66875,0,14,32,0,0,0,0,0,0,0,0,1,26,6.25,8,0.86,0.86,0,0.398614415,0.849466036,0.000325392,0.000102482,0.469252916,4.07154E-06,9.53192E-06,0.000324336,0.000103621
EWECOY_clean,6.36107,5.38638,6.36107,1.35369,1402.03,1897.91,0,0,0.613,0.452836,0,0,88,0,0,0,0,0,0,0,0,1,89,13.63636364,4.666666667,1.234871795,1.234871795,0,0.214757253,0.211214921,0.000189261,0.000302032,1.016771222,2.20607E-06,2.20089E-06,0.000300649,0.000267963
EWETUW_clean,5.62021,4.24917,5.57976,1.31411,504.004,662.316,318.576,418.644,0.5412,0.411838,0,24,42,2,0,0,0,0,0,0,0,1,30.5,4.761904762,6,0.577560976,0.577560976,0.166666667,0.935208948,1.363144406,1.3358E-05,5.4995E-06,0.686067407,1.23599E-05,0.000018098,2.67096E-05,2.68932E-05
EWIPIL_clean,5.07501,3.95522,5.05284,1.20337,1536.56,1849.05,0,0,0.602,0.500263,0,12,32,0,0,0,0,0,0,4,0,0,27,12.5,7,1.204,1.204,0,0.496580602,0.416711821,0.000128213,0.000118863,1.191664304,5.42742E-06,4.4736E-06,0.00014702,0.000133992
EWUGEK_clean,4.25922,3.99552,4.25922,1.59647,159.284,254.293,0,0,0.3716,0.232763,0,112,84,24,0,0,0,0,0,0,0,1,23,4.761904762,6,0.627096774,0.627096774,1,0.276097962,0.21308187,9.52012E-05,0.000101615,1.295736525,3.82147E-06,2.85246E-06,6.16134E-05,5.4508E-05
EWUKAK_clean,8.06678,6.82094,8.05126,1.11278,1780.62,1981.43,0,0,0.6252,0.561838,0,48,144,0,0,0,0,0,0,16,0,0,121,16.66666667,4.333333333,1.118,1.118,0,0.280122992,0.268926127,0.000250674,0.000214156,1.041635468,2.84698E-06,2.79708E-06,0.00026073,0.000221509
EWUKEO_clean,6.02152,4.9088,6.0177,1.04306,2392.52,2495.54,0,0,0.6576,0.630455,0,30,90,0,0,0,0,0,0,12,0,0,76,20,3.666666667,1.112941176,1.112941176,0,0.339639259,0.333830677,0.000240463,0.000240764,1.017399785,3.51741E-06,3.4858E-06,0.000227711,0.000235079
EWUKIS_clean,6.09706,5.36823,6.07492,1.05799,2291.97,2424.88,0,0,0.6762,0.639136,0,30,90,0,0,0,0,0,0,18,0,0,76,20,3.666666667,1.112941176,1.112941176,0,0.350877091,0.324520188,0.000242888,0.000217558,1.08121807,3.61373E-06,3.41669E-06,0.000210195,0.000255222
EWUSOF_clean,11.18858,8.47337,10.82571,0.877,1910.87,1675.84,0,0,0.721,0.822121,0,128,160,32,0,8,0,0,24,0,0,4,85,20,0,0.319166667,0.319166667,0,0.139605186,0.133224227,0.000356051,0.000405378,1.047896386,1.40889E-06,1.34125E-06,0.000337784,0.000376341
EWUSUL_clean,11.25293,8.38573,11.25293,0.979503,1706.59,1671.61,0,0,0.7086,0.723428,0,128,160,32,0,8,0,0,24,0,0,4,85,20,0,0.319166667,0.319166667,0,0.124773093,0.117959909,0.000361885,0.000342032,1.057758473,1.24915E-06,1.19086E-06,0.000421555,0.000404827
EWUTEW_clean,7.55965,4.88065,7.45386,1.29422,1283.06,1660.56,0,0,0.5852,0.452164,0,80,104,24,0,0,0,0,12,0,0,4,59,15.38461538,0,0.304,0.304,0,0.33250982,0.305281036,0.000147854,0.000150795,1.089192516,3.57254E-06,3.38563E-06,0.000152087,0.000122131
EXALAR_clean,8.27068,4.14256,8.27068,0.819136,1894.68,1552,23.7688,19.4699,0.6382,0.779114,0,96,64,48,0,0,0,0,0,0,0,1,5,6.25,0,0.688301887,0.688301887,0,0.351524306,0.304489758,7.24326E-05,6.21578E-05,1.154470051,3.58768E-06,3.1128E-06,7.03148E-05,5.59571E-05
EXALIZ_clean,8.54083,3.87619,8.54083,1.52305,842.727,1283.51,0,0,0.5696,0.373988,0,60,40,30,0,0,0,0,0,0,0,1,3.5,37.5,2.266666667,1.156444444,1.156444444,0.882352941,0.128012526,0.143482331,7.7406E-05,5.75609E-05,0.892183205,1.29404E-06,1.45004E-06,6.57318E-05,6.84284E-05
EXAXAE01_clean,10.9668,6.77359,10.9668,1.34773,1274.74,1718.01,95.6773,128.947,0.6772,0.502475,0,24,56,8,0,0,0,0,16,0,0,4,39,28.57142857,2,0.933333333,0.933333333,0.25,0.217192922,0.20289442,0.000254478,0.000236477,1.070472623,2.42297E-06,2.19348E-06,0.000160773,0.000163844
EXAXAE_clean,10.76753,6.65722,10.58024,1.36537,1238.34,1690.78,93.34,127.443,0.6754,0.494666,0,24,56,8,0,0,0,0,16,0,0,4,39,28.57142857,2,0.933333333,0.933333333,0.25,0.224518891,0.209473004,0.000230158,0.000182054,1.071827335,2.55331E-06,2.3131E-06,0.00023443,0.000253853
EXEMUR_clean,6.22751,4.77221,6.20611,1.4177,325.637,461.655,125.659,178.147,0.4768,0.33632,0,96,144,12,0,12,0,0,0,0,0,1,88,5.555555556,3,0.53027027,0.53027027,0.5,0.198629751,0.141510411,3.26679E-05,8.3983E-05,1.403640553,2.19014E-06,1.56528E-06,3.6455E-05,6.30534E-05
EXEQAA_clean,7.25351,7.13068,7.2425,1.02495,1633.14,1673.9,0,0,0.6088,0.593978,0,48,96,0,0,0,0,0,0,0,0,1,73,12.5,5,0.955555556,0.955555556,0,0.462650228,0.436889483,0.000236375,0.000362469,1.058963986,4.7732E-06,4.58877E-06,0.000277126,0.000320534
EXEQII_SL,7.24683,7.11371,7.24683,1.02502,1642.43,1683.52,0,0,0.597,0.58243,0,16,32,0,0,0,0,0,0,0,0,1,25,12.5,5,0.955555556,0.955555556,0,0.458198641,0.426135038,0.000252773,0.000282986,1.075242824,4.7111E-06,4.45698E-06,0.000356605,0.000406068
EXEQIJ_clean,9.6862,6.92079,9.6862,0.450874,5604.19,2526.79,0,0,0.7974,1.76856,0,64,80,16,0,0,0,0,4,0,0,4,45,5,0,0.296585366,0.296585366,0,0.363085548,0.345983371,0.000445166,0.000524534,1.049430632,3.64373E-06,3.49321E-06,0.000509471,0.000580026
EXEWIO_clean,7.06551,3.91163,7.06551,1.10612,1127.68,1247.35,0,0,0.5336,0.482408,0,180,260,24,0,0,0,0,0,12,0,0,165,4.615384615,3.333333333,0.392835821,0.392835821,0.6,0.765147279,0.640861988,5.06564E-05,4.99175E-05,1.193934565,1.01287E-05,8.4997E-06,9.45456E-05,7.87865E-05
EXEXAH_clean,9.58473,9.08126,9.58473,0.865744,1595.31,1381.13,0,0,0.6118,0.706675,0,64,64,16,0,0,0,0,0,0,0,1,29,6.25,0,0.328648649,0.328648649,0,0.276273385,0.263648054,0.000236415,0.00022422,1.047887066,2.80473E-06,2.70893E-06,0.000230286,0.000381545
EXIDOF_clean,5.61373,5.00672,5.60841,1.03591,1799.64,1864.27,0,0,0.6158,0.594451,0,32,160,0,0,0,0,0,0,0,0,1,145,10,8,1.31047619,1.31047619,0,0.412438612,0.419466158,0.000309235,0.00028136,0.983246452,4.33163E-06,4.45585E-06,0.000326239,0.000384362
EXOFIH_clean,4.43208,4.25139,4.42906,1.35435,1225.81,1660.17,0,0,0.5858,0.432533,0,6,30,0,0,0,0,0,0,0,0,1,28,10,8,1.31047619,1.31047619,0,0.698804952,0.621299758,0.000338146,0.000381625,1.124746859,7.96205E-06,7.08997E-06,0.000494582,0.000493262
EXOJAC_clean,5.72699,4.62925,5.72699,0.890926,1884.27,1678.75,0,0,0.5862,0.657967,0,96,96,16,0,0,0,0,4,0,0,4,45,4.166666667,0,0.229433962,0.229433962,0,0.995138045,0.841601463,8.78763E-05,8.13081E-05,1.182433834,1.11857E-05,9.5002E-06,9.99637E-05,8.37505E-05
EXOTOB_clean,13.28738,7.77882,13.22247,0.710367,2518.43,1789.01,0,0,0.7024,0.988785,0,228,384,96,0,0,0,0,0,0,0,1,247,6.25,2,0.585846154,0.585846154,2,0.211807824,0.210777416,0.000523633,0.000517119,1.004888609,2.12895E-06,2.12528E-06,0.000524159,0.000549102
EXOTUH_SL,6.05951,4.4083,6.05951,0.950557,2068.92,1966.63,0,0,0.6264,0.658982,0,60,102,18,0,0,0,0,0,0,0,1,68.5,2.941176471,8,0.663188406,0.663188406,0.75,0.538932442,0.49906536,9.14675E-05,9.38367E-05,1.079883487,5.65281E-06,5.35413E-06,0.000121324,0.000112641
EXOZIB_clean,8.81916,5.67239,8.81916,0.860889,2400.34,2066.43,0,0,0.7104,0.825193,0,24,24,6,0,0,0,0,3,0,0,4,11.5,12.5,6,1.0688,1.0688,0.333333333,0.247762324,0.233500509,0.000166145,0.000199046,1.061078305,2.5329E-06,2.3386E-06,0.000155454,0.000207599
EXUHEM_clean,5.5848,3.98697,5.5848,1.1948,867.268,1036.21,0,0,0.5148,0.430868,0,48,44,8,0,0,0,0,0,0,0,1,19,4.545454545,4,0.471272727,0.471272727,1,0.543762486,0.523616824,8.25455E-05,5.39827E-05,1.038474054,6.53854E-06,6.60774E-06,6.28899E-05,5.28712E-05
EXUHUC_clean,6.22107,4.0898,6.22107,1.22274,696.948,852.187,7.73552,9.45855,0.5232,0.427891,0,90,198,36,0,0,0,0,0,0,0,1,145,13.63636364,3.333333333,0.950204082,0.950204082,0.4,0.164235777,0.119925142,4.49299E-05,3.61606E-05,1.369485785,1.80408E-06,1.36923E-06,4.16264E-05,4.06114E-05
EYACOX_clean,8.14361,5.87215,7.68514,0.961963,2567.06,2469.42,0,0,0.6732,0.699819,0,36,120,0,0,0,0,0,0,0,0,1,103,6.666666667,6,0.778867925,0.778867925,0,0.35997362,0.726693338,0.000316111,0.000195275,0.49535836,3.67924E-06,0.000008052,0.000372192,0.000191851
EYINOR_clean,8.12774,5.83469,8.12774,0.997324,2433.6,2427.09,0,0,0.6904,0.692252,0,72,240,0,0,0,0,0,0,0,0,1,205,6.666666667,6,0.778867925,0.778867925,0,0.3578453,0.371013898,0.000326085,0.000329727,0.964506455,3.66093E-06,3.87101E-06,0.000334028,0.000340474
EYIYES_clean,8.23387,5.84668,8.15455,0.958955,2534.15,2430.13,0,0,0.6902,0.719741,0,72,240,0,0,0,0,0,0,0,0,1,205,6.666666667,6,0.778867925,0.778867925,0,0.3150753,0.351202012,0.000312587,0.000372535,0.897134098,3.22565E-06,3.63154E-06,0.000380156,0.000356822
EYOCIG_clean,8.27418,5.89212,8.06359,0.922433,2635.51,2431.08,0,0,0.694,0.752358,0,72,240,0,0,0,0,0,0,0,0,1,205,6.666666667,6,0.778867925,0.778867925,0,0.325819517,0.58889672,0.000408772,0.000212241,0.553271068,3.34039E-06,6.13281E-06,0.000375729,0.000263093
EYOCOM_clean,8.18337,5.84697,8.18337,0.974997,2492.29,2429.97,0,0,0.6902,0.7079,0,72,240,0,0,0,0,0,0,0,0,1,205,6.666666667,6,0.778867925,0.778867925,0,0.316030805,0.339498358,0.000359657,0.000346344,0.930875798,3.22851E-06,3.47934E-06,0.0003824,0.000369044
EYULOA_clean,4.93073,3.99192,4.90572,1.26506,648.04,819.807,0,0,0.5008,0.395872,0,136,176,16,0,0,0,0,0,0,0,1,105,6.818181818,4,0.5344,0.5344,0.333333333,0.657576242,0.614922787,5.82598E-05,9.53813E-05,1.069363921,8.47024E-06,8.00488E-06,9.4602E-05,7.66043E-05
EYUWAW_clean_h,6.01873,4.52997,6.01625,1.02499,1406.78,1441.95,0,0,0.5778,0.563711,0,95,192,0,0,0,0,0,0,0,0,1,145.5,8.333333333,4,0.599891008,0.599891008,0,0.43759257,0.408278397,0.000134939,0.000123419,1.071799471,4.67582E-06,4.39775E-06,0.000140082,0.000160528
EZABEN_clean,5.22809,3.75233,5.19001,1.80933,804.973,1456.46,0,0,0.5686,0.314261,0,12,12,18,0,6,0,0,0,0,0,1,-0.5,50,0,1.364444444,1.364444444,0,0.249429922,0.226076576,0.000122828,9.29554E-05,1.103298387,2.63656E-06,2.40842E-06,9.5768E-05,6.52691E-05
EZEQEH_clean,4.87284,4.37059,4.87284,1.23337,731.365,902.039,0,0,0.4534,0.367612,0,64,104,8,0,0,0,0,0,0,0,1,71,7.692307692,5,0.722857143,0.722857143,0.2,0.609806969,0.579875336,2.28448E-05,1.46607E-05,1.051617358,7.52417E-06,7.39749E-06,5.54937E-05,3.70686E-05
EZEQIL_clean,5.30026,4.78345,5.30026,1.17129,919.215,1076.67,0,0,0.476,0.406389,0,64,104,8,0,0,0,0,0,0,0,1,71,7.692307692,5,0.722857143,0.722857143,0.2,0.636603409,0.605318957,4.73834E-05,3.00649E-05,1.051682591,7.51996E-06,7.50613E-06,5.15755E-05,5.80949E-05
EZEQOR_clean,5.6482,4.90134,5.6482,1.14412,988.403,1130.85,0,0,0.4858,0.424607,0,64,104,8,0,0,0,0,0,0,0,1,71,7.692307692,5,0.722857143,0.722857143,0.2,0.646327189,0.629969101,4.45196E-05,3.47379E-05,1.025966493,7.55046E-06,7.65028E-06,5.17536E-05,6.64695E-05
EZEQUX_clean,5.58794,4.86495,5.58794,1.14902,974.163,1119.33,0,0,0.4862,0.423145,0,64,104,8,0,0,0,0,0,0,0,1,71,7.692307692,5,0.722857143,0.722857143,0.2,0.661499486,0.640800504,3.64251E-05,2.79461E-05,1.032301758,7.80219E-06,7.88435E-06,5.33465E-05,6.44158E-05
EZESAF_clean,5.1372,4.14128,5.1327,1.2462,551.996,687.896,0,0,0.4534,0.363827,0,92,100,16,0,0,0,0,4,0,0,4,51,4,6,0.555932203,0.555932203,0.666666667,0.617636351,0.578525658,3.72823E-05,4.57986E-05,1.067604077,8.10782E-06,7.9975E-06,9.61005E-05,8.37734E-05
EZIPEK_clean,8.58626,4.2007,8.58626,1.51602,1102.68,1671.68,0,0,0.5836,0.384955,0.000527697,0,192,96,0,0,0,0,0,0,0,1,169,12.5,5.333333333,1.664,1.664,0.75,0.292577173,0.264057062,4.13862E-05,3.49738E-05,1.108007379,3.19175E-06,2.96689E-06,3.45469E-05,2.49954E-05
EZITUE_clean,5.18743,4.58908,5.18743,1.41786,363.149,514.897,0,0,0.4536,0.319918,0,216,168,48,0,0,0,0,0,0,0,1,49,4.761904762,6,0.637377049,0.637377049,1,0.363045648,0.413126525,4.30028E-05,3.42809E-05,0.878775934,4.53943E-06,5.47685E-06,6.73785E-05,5.37307E-05
EZIVAM_clean,4.86841,4.201,4.86841,1.36805,299.821,410.17,0,0,0.4216,0.308176,0,216,168,48,0,0,0,0,0,0,0,1,49,4.761904762,6,0.637377049,0.637377049,1,0.410443132,0.4028256,2.81821E-05,1.89392E-05,1.01891025,5.36048E-06,5.48476E-06,4.47553E-05,3.04451E-05
EZOBUR02_clean,5.4535,4.4976,5.43411,1.36504,643.645,878.599,0,0,0.4944,0.362188,0,148,212,24,116,0,0,0,12,0,0,4,75,5.660377358,4,1.249571429,1.249571429,0.5,0.253709353,0.335969041,6.20719E-05,4.76571E-05,0.755156941,2.78327E-06,3.94061E-06,5.00159E-05,5.82579E-05
EZOBUR_clean,6.22091,4.91314,6.06649,1.26527,845.668,1070,0,0,0.5366,0.4241,0,148,208,24,108,0,0,0,12,0,0,4,75,5.769230769,4,1.218832117,1.218832117,0.5,0.238261333,0.315037695,5.99642E-05,6.77122E-05,0.75629468,2.57504E-06,3.53305E-06,0.000121553,9.24934E-05
EZOFEF_clean,11.22482,4.58247,11.22482,1.02492,1308.34,1340.94,247.127,253.285,0.6156,0.600633,0,108,96,12,0,0,0,0,0,0,0,1,40,12.5,4,0.730434783,0.730434783,0.25,0.885833264,0.774156515,7.84831E-05,6.41348E-05,1.144256035,1.12468E-05,1.00527E-05,6.41494E-05,4.25385E-05
EZUCIM_clean,5.27092,4.42324,5.21472,1.00292,1776.11,1781.29,0,0,0.602,0.600249,0,48,60,16,0,0,0,0,0,4,0,0,33,6.666666667,4,0.72,0.72,1,0.694543754,0.615806787,6.631E-05,5.05738E-05,1.127859857,7.53335E-06,0.000006737,8.50539E-05,7.24201E-05
EZULAO_clean,5.09593,4.42786,5.07986,1.44576,729.539,1054.74,0,0,0.5038,0.348468,0,12,24,0,0,0,0,0,0,0,0,1,19,8.333333333,4,0.59826087,0.59826087,0,0.378005317,0.354219231,5.94476E-05,6.32495E-05,1.067150748,4.1518E-06,4.0315E-06,6.49419E-05,6.28899E-05
FABGUM_clean,4.49645,4.20268,4.49184,1.20151,803.144,964.988,164.944,198.183,0.618,0.514351,0,32,24,24,0,0,0,0,0,0,0,1,3,16.66666667,0,0.868571429,0.868571429,0,0.264375322,0.190740851,7.30076E-05,0.000102639,1.386044579,2.71223E-06,1.96727E-06,0.000109625,0.00010866
FAFMAC_clean,6.81612,5.39086,6.79864,1.26269,922.651,1165.02,0,0,0.5508,0.436212,0,80,40,20,0,0,0,0,0,0,0,1,-4,10,3,0.638,0.638,1.666666667,0.242289119,0.229572876,0.000177382,0.000248214,1.055390875,2.52004E-06,2.42883E-06,0.000226635,0.000236465
FAFQEJ01_clean,6.37389,4.22376,5.90055,1.46265,1521.44,2225.33,0,0,0.6474,0.442621,0,112,60,12,0,0,0,0,0,0,0,1,2,26.66666667,4,0.972121212,0.972121212,0.1875,0.144303009,0.14117357,0.000132266,0.000109273,1.022167317,1.46377E-06,1.43336E-06,0.000112466,0.000120736
FAGMAE_clean,5.46748,4.37557,5.46748,1.06062,1103.31,1170.19,0.834777,0.885384,0.5442,0.513094,0,288,240,32,0,0,0,0,0,0,0,1,89,3.333333333,0,0.162133333,0.162133333,0,0.441767675,0.378237707,2.52065E-05,1.85707E-05,1.167963073,4.8662E-06,4.17236E-06,2.3501E-05,2.85763E-05
FAGMEI_clean,4.74677,3.86448,4.45761,1.13696,512.733,582.955,134.206,152.586,0.5114,0.449797,0,288,240,32,0,0,0,0,0,0,0,1,89,3.333333333,0,0.162133333,0.162133333,0,0.751776994,0.606915873,2.10191E-05,1.5276E-05,1.238684021,9.12587E-06,7.2494E-06,3.2345E-05,1.90886E-05
